id,Durat   ,Prot    ,Src Port,Dst Port, Tos  ,Packets ,Bytes  , Flows  ,Label
158,0.338,TCP,55955,80,0,9,1509,1,Background
159,0,UDP,47547,53,0,2,218,1,Background
160,0,UDP,35670,53,0,2,400,1,Background
161,0.466,TCP,50392,443,0,12,4652,1,LEGITIMATE
162,0.479,UDP,51988,19083,0,4,330,1,Background
163,0.987,UDP,19181,35534,0,2,474,1,Background
164,0,UDP,53525,13363,0,2,135,1,Background
165,0,UDP,50415,13363,0,2,251,1,Background
166,0.013,TCP,60141,6889,0,2,128,1,Background
167,31.984,UDP,19181,17447,0,18,3110,1,Background
168,59.999,UDP,43087,12649,0,61645,62175910,1,Background
169,21.369,TCP,13363,23018,0,9,899,1,Background
170,7.399,TCP,13363,53734,0,4,220,1,Background
171,9.009,TCP,1846,3126,0,3,186,1,Background
172,0,UDP,4264,11427,0,1,197,1,Background
173,0.002,ICMP,7,7,0,1,78,1,LEGITIMATE
174,0.119,UDP,13363,34039,0,2,248,1,Background
175,0,UDP,59128,53,0,2,214,1,Background
176,0,UDP,33185,53,0,2,214,1,Background
177,0,UDP,58504,53,0,2,214,1,Background
178,0,UDP,55021,53,0,2,214,1,Background
179,0,UDP,45633,53,0,2,214,1,Background
180,0,UDP,45832,53,0,2,214,1,Background
181,0,UDP,40945,53,0,2,214,1,Background
182,0,UDP,49350,53,0,2,214,1,Background
183,0,UDP,16232,13363,0,2,552,1,Background
184,0,UDP,52090,53,0,2,214,1,Background
185,44.689,UDP,37938,53,0,4,428,1,Background
186,0.374,UDP,13688,56864,0,2,138,1,Background
187,0.024,UDP,13688,34027,0,2,135,1,Background
188,0.058,UDP,13688,11547,0,2,133,1,Background
189,0.041,UDP,13688,23702,0,2,133,1,Background
190,0.054,UDP,13688,52317,0,2,133,1,Background
191,0.349,UDP,13688,2356,0,2,137,1,Background
192,0.025,UDP,13688,4335,0,2,135,1,Background
193,0.066,UDP,13688,28049,0,2,134,1,Background
194,0,UDP,45720,53,0,2,214,1,Background
195,0,UDP,46839,53,0,2,214,1,Background
196,0,UDP,61299,13363,0,2,241,1,Background
197,0,UDP,57285,19083,0,2,140,1,Background
198,0,UDP,55773,53,0,4,512,1,Background
199,10.416,TCP,42233,443,0,28,11361,1,Background
200,0,UDP,51746,19083,0,2,143,1,Background
201,0,UDP,27940,13363,0,2,245,1,Background
202,0.099,TCP,59076,80,0,4,216,1,Background
203,0,ICMP,7,7,0,1,78,1,LEGITIMATE
204,2.699,TCP,50960,13363,0,6,856,1,Background
205,55.354,TCP,61111,80,0,8,3241,1,Background
206,46.483,TCP,19083,54799,0,7,727,1,Background
207,0,UDP,58638,13363,0,2,134,1,Background
208,0,UDP,57817,53,0,2,261,1,Background
209,0.206,TCP,1854,80,0,38,30778,1,Background
210,0,UDP,34626,13363,0,2,134,1,Background
211,0.098,UDP,13363,61298,0,2,136,1,Background
212,0.141,UDP,13363,61187,0,2,133,1,Background
213,0.23,UDP,13363,22254,0,2,132,1,Background
214,0,TCP,61405,20781,0,1,54,1,Background
215,0,UDP,19181,25138,0,1,145,1,Background
216,0,ICMP,7,7,0,1,78,1,LEGITIMATE
217,0,UDP,427,56887,0,1,325,1,Background
218,9.001,TCP,59742,22,0,3,194,1,Background
219,45.013,TCP,50566,443,0,4,242,1,LEGITIMATE
220,0,UDP,35634,13363,0,2,133,1,Background
221,0,UDP,32389,13363,0,2,135,1,Background
222,0,UDP,50985,13363,0,2,560,1,Background
223,0,UDP,60063,13363,0,2,557,1,Background
224,0,UDP,54431,13363,0,2,242,1,Background
225,0,UDP,6599,13363,0,2,137,1,Background
226,0,UDP,62281,13363,0,2,265,1,Background
227,0,UDP,63032,13363,0,2,136,1,Background
228,0.055,UDP,19181,18957,0,2,474,1,Background
229,39.161,TCP,5190,56958,0,14,2249,1,Background
230,0.001,ICMP,7,7,0,1,78,1,LEGITIMATE
231,0,TCP,37641,80,0,1,58,1,Background
232,0,ICMP,7,7,0,1,173,1,Background
233,0,ICMP,7,7,0,1,78,1,LEGITIMATE
234,0.192,UDP,54963,123,0,2,180,1,Background
235,0,UDP,48056,19083,0,2,563,1,Background
236,0,UDP,47381,13363,0,2,141,1,Background
237,0,UDP,42608,53,0,2,330,1,Background
238,0.401,UDP,11046,13363,0,2,266,1,Background
239,0,UDP,50343,53,0,2,394,1,Background
240,0.153,TCP,1857,80,0,61,53811,1,Background
241,0,UDP,41949,443,0,2,128,1,Background
242,0,UDP,5796,13363,0,2,134,1,Background
243,6.005,ICMP,7,7,0,3,534,1,Background
244,0.04,UDP,19181,26484,0,2,464,1,Background
245,0.253,UDP,19181,39160,0,2,474,1,Background
246,0.022,UDP,19181,46435,0,2,464,1,Background
247,0.239,UDP,19181,30522,0,2,474,1,Background
248,0.571,UDP,19181,4041,0,2,485,1,Background
249,0.219,UDP,19181,28397,0,2,474,1,Background
250,0.066,UDP,19181,53219,0,2,474,1,Background
251,32.016,UDP,19181,45881,0,13,2567,1,Background
252,50.72,TCP,1423,46993,0,23,2754,1,Background
253,0.243,TCP,19083,35492,0,3,214,1,Background
254,49.85,TCP,443,49920,0,27,2666,1,Background
255,0,UDP,53109,43087,0,1,145,1,Background
256,0,ICMP,7,7,0,1,173,1,Background
257,0,ICMP,7,7,0,1,78,1,LEGITIMATE
258,0,UDP,68,67,0,1,320,1,Background
259,0,ICMP,7,7,0,1,78,1,LEGITIMATE
260,0,UDP,60985,13363,0,2,294,1,Background
261,27.302,TCP,49155,13363,0,6,628,1,Background
262,0,ICMP,7,7,0,1,78,1,LEGITIMATE
263,0,ICMP,7,7,0,1,78,1,LEGITIMATE
264,59.989,TCP,60508,13363,0,4,629,1,Background
265,2.525,UDP,13363,24262,0,6,1087,1,Background
266,0,UDP,25158,19083,0,2,138,1,Background
267,0.54,UDP,65373,137,0,3,276,1,Background
268,42.1,UDP,9956,19083,0,4,460,1,Background
269,0,UDP,45455,53,0,2,214,1,Background
270,5.013,UDP,58054,13363,0,4,270,1,Background
271,0,UDP,49682,53,0,2,214,1,Background
272,0,UDP,41956,53,0,2,214,1,Background
273,45.427,UDP,13363,3427,0,4,272,1,Background
274,0,UDP,46189,13363,0,2,238,1,Background
275,0,UDP,47340,53,0,2,214,1,Background
276,0,UDP,38697,53,0,2,214,1,Background
277,0,UDP,54287,53,0,2,214,1,Background
278,0,UDP,41913,53,0,2,214,1,Background
279,0,UDP,45556,53,0,2,214,1,Background
280,0,UDP,57323,53,0,2,214,1,Background
281,0.001,UDP,24866,13363,0,2,144,1,Background
282,0,UDP,56537,53,0,2,214,1,Background
283,42.606,UDP,37481,53,0,8,856,1,Background
284,0,UDP,53339,53,0,2,214,1,Background
285,0,UDP,54900,53,0,2,214,1,Background
286,0.425,UDP,37214,19083,0,2,280,1,Background
287,0.54,UDP,52785,137,0,3,276,1,Background
288,0,UDP,17254,19083,0,2,135,1,Background
289,17.336,TCP,55276,13363,0,10,1141,1,Background
290,32.602,TCP,49307,19083,0,49,7153,1,Background
291,0.022,UDP,13363,41952,0,2,270,1,Background
292,0.001,UDP,46837,123,0,2,180,1,Background
293,0.174,UDP,13363,62763,0,2,137,1,Background
294,0,ICMP,7,7,0,1,78,1,LEGITIMATE
295,0,TCP,524,1062,0,2,110,1,Background
296,0,UDP,55816,13363,0,2,133,1,Background
297,0.426,UDP,19181,21301,0,2,464,1,Background
298,0,UDP,12063,13363,0,2,254,1,Background
299,51.381,TCP,57506,443,0,22,4770,1,LEGITIMATE
300,0.215,UDP,19181,16938,0,2,474,1,Background
301,29.444,UDP,32483,13363,0,4,270,1,Background
302,0,UDP,48233,19083,0,2,135,1,Background
303,0,UDP,50313,19083,0,2,136,1,Background
304,0.067,TCP,53935,80,0,7,2016,1,LEGITIMATE
305,16.521,TCP,1291,21857,0,18,1233,1,Background
306,0,UDP,63622,13363,0,2,135,1,Background
307,0,UDP,33547,53,0,2,214,1,Background
308,0,UDP,57391,53,0,2,214,1,Background
309,0.249,UDP,13363,7143,0,2,134,1,Background
310,0,UDP,37388,53,0,2,214,1,Background
311,0,UDP,58236,53,0,2,214,1,Background
312,0,UDP,35309,53,0,2,214,1,Background
313,35.21,TCP,46161,80,0,5,330,1,Background
314,59.983,UDP,43087,38402,0,9,1512,1,Background
315,33.781,TCP,3145,13107,0,6,1334,1,Background
316,0,ICMP,7,7,0,1,78,1,LEGITIMATE
317,0,UDP,19181,53320,0,1,145,1,Background
318,0,UDP,19181,53915,0,1,145,1,Background
319,0,UDP,19181,51540,0,1,145,1,Background
320,0,UDP,19181,1057,0,1,145,1,Background
321,0,UDP,19181,50189,0,1,145,1,Background
322,0.087,UDP,19181,62165,0,1,145,1,Background
323,0,UDP,19181,60099,0,1,145,1,Background
324,0,UDP,20231,22602,0,1,145,1,Background
325,0,ICMP,7,7,0,1,173,1,Background
326,0.822,TCP,2524,13363,0,4,220,1,Background
327,0,ICMP,7,7,0,1,78,1,LEGITIMATE
328,0,UDP,19181,32500,0,1,145,1,Background
329,0,ICMP,7,7,0,1,70,1,Background
330,0,UDP,51413,63550,0,1,136,1,Background
331,0,ICMP,7,7,0,1,164,1,Background
332,0,ICMP,7,7,0,1,78,1,LEGITIMATE
333,11.008,TCP,13363,23597,0,4,220,1,Background
334,8.997,TCP,63331,48784,0,3,186,1,Background
335,0.003,UDP,32221,13363,0,4,3023,1,Background
336,0.377,UDP,17010,13363,0,4,402,1,Background
337,0.001,UDP,32315,13363,0,2,256,1,Background
338,0.369,UDP,26643,13363,0,2,274,1,Background
339,0,UDP,55927,53,0,2,226,1,Background
340,59.999,UDP,19181,35670,0,6100,6122815,1,Background
341,0,TCP,3304,43087,0,2,116,1,Background
342,0,TCP,49422,53389,0,2,465,1,Background
343,59.945,TCP,3425,80,0,406,372080,1,Background
344,53.014,TCP,60730,443,0,19,1561,1,Background
345,54.998,TCP,5222,40716,0,6,470,1,Background
346,0,ICMP,7,7,0,1,78,1,LEGITIMATE
347,0,ICMP,7,7,0,1,78,1,LEGITIMATE
348,0,UDP,47716,53,0,2,214,1,Background
349,0,UDP,46004,53,0,2,214,1,Background
350,0,UDP,39158,53,0,2,214,1,Background
351,0,UDP,53361,53,0,2,214,1,Background
352,0,UDP,58237,53,0,2,214,1,Background
353,0,UDP,30651,19083,0,2,139,1,Background
354,0,UDP,25175,13363,0,2,136,1,Background
355,0.697,UDP,42161,13363,0,2,278,1,Background
356,0.2,UDP,13363,16852,0,2,157,1,Background
357,0.121,UDP,13363,34008,0,2,137,1,Background
358,0.302,UDP,13363,28200,0,2,139,1,Background
359,0.143,UDP,13363,53697,0,2,136,1,Background
360,0,UDP,1265,19083,0,2,136,1,Background
361,0.182,UDP,13363,44944,0,4,3012,1,Background
362,0.839,UDP,18893,19083,0,4,649,1,Background
363,0.87,TCP,26652,13363,0,10,882,1,Background
364,47.962,TCP,33731,13363,0,8,869,1,Background
365,0.22,TCP,1040,13363,0,3,356,1,Background
366,0.22,TCP,49300,13363,0,3,562,1,Background
367,0,UDP,26934,13363,0,2,135,1,Background
368,0,ICMP,7,7,0,1,78,1,LEGITIMATE
369,0,ICMP,7,7,0,1,70,1,Background
370,0,ICMP,7,7,0,1,78,1,LEGITIMATE
371,25.498,UDP,19083,23249,0,6,964,1,Background
372,16.725,UDP,36771,53,0,4,428,1,Background
373,52.309,UDP,45378,53,0,4,428,1,Background
374,59.891,TCP,57764,57551,0,4,1512,1,Background
375,21.807,TCP,443,1101,0,8,1020,1,Background
376,31.631,TCP,19083,55916,0,7,507,1,Background
377,0,UDP,20725,63550,0,1,148,1,Background
378,0,ICMP,7,7,0,1,176,1,Background
379,0,ICMP,7,7,0,1,78,1,LEGITIMATE
380,25.194,TCP,59922,80,0,64,23767,1,LEGITIMATE
381,0,UDP,18181,13363,0,2,220,1,Background
382,0.014,TCP,57425,110,0,16,1254,1,Background
383,0,UDP,61723,19083,0,2,134,1,Background
384,0,UDP,35118,13363,0,2,634,1,Background
385,0,UDP,41935,13363,0,2,133,1,Background
386,0.144,UDP,19083,43747,0,2,158,1,Background
387,6.137,UDP,19083,28255,0,3,207,1,Background
388,0,UDP,42764,53,0,2,298,1,LEGITIMATE
389,0,UDP,36590,53,0,2,298,1,LEGITIMATE
390,0,UDP,53136,53,0,2,256,1,LEGITIMATE
391,21.637,UDP,13363,45592,0,6,1135,1,Background
392,59.755,TCP,13363,49771,0,5,1326,1,Background
393,59.896,TCP,34971,80,0,6,396,1,LEGITIMATE
394,0,TCP,2173,6881,0,2,116,1,Background
395,46.698,UDP,19083,22007,0,6,966,1,Background
396,0,UDP,26780,13363,0,3,587,1,Background
397,59.944,UDP,51454,4694,0,8,516,1,Background
398,59.968,UDP,51454,24065,0,8,516,1,Background
399,0,UDP,35773,13363,3,2,134,1,Background
400,0,UDP,25846,19083,0,2,138,1,Background
401,0,UDP,51406,19083,0,2,134,1,Background
402,0,UDP,2917,19083,0,2,133,1,Background
403,0,UDP,56001,13363,0,2,233,1,Background
404,0,UDP,9102,13363,0,2,134,1,Background
405,0,UDP,1185,13363,0,2,133,1,Background
406,0,UDP,56423,13363,0,2,133,1,Background
407,0.004,UDP,1643,14226,0,2,245,1,Background
408,0.172,UDP,19083,8620,0,4,3000,1,Background
409,0.925,UDP,19181,10673,0,2,474,1,Background
410,0,UDP,1024,13363,0,2,229,1,Background
411,0.001,UDP,50660,13363,0,2,555,1,Background
412,0,ICMP,7,7,0,1,1066,1,Botnet
413,0,ICMP,7,7,0,1,1066,1,Botnet
414,0,ICMP,7,7,0,1,1066,1,Botnet
415,0,ICMP,7,7,0,1,1066,1,Botnet
416,0,ICMP,7,7,0,1,1066,1,Botnet
417,0,ICMP,7,7,0,1,1066,1,Botnet
418,0,ICMP,7,7,0,1,1066,1,Botnet
419,0,TCP,3304,43087,0,2,116,1,Background
420,0,ICMP,7,7,0,1,1066,1,Botnet
421,0,ICMP,7,7,0,1,1066,1,Botnet
422,0,ICMP,7,7,0,1,1066,1,Botnet
423,0,ICMP,7,7,0,1,1066,1,Botnet
424,0,ICMP,7,7,0,1,1066,1,Botnet
425,0,ICMP,7,7,0,1,1066,1,Botnet
426,0,ICMP,7,7,0,1,1066,1,Botnet
427,0,ICMP,7,7,0,1,1066,1,Botnet
428,0,ICMP,7,7,0,1,1066,1,Botnet
429,0,ICMP,7,7,0,1,1066,1,Botnet
430,0,ICMP,7,7,0,1,1066,1,Botnet
431,0,ICMP,7,7,0,1,1066,1,Botnet
432,0,ICMP,7,7,0,1,1066,1,Botnet
433,0,ICMP,7,7,0,1,1066,1,Botnet
434,0,ICMP,7,7,0,1,1066,1,Botnet
435,0,ICMP,7,7,0,1,1066,1,Botnet
436,0,ICMP,7,7,0,1,1066,1,Botnet
437,0,ICMP,7,7,0,1,1066,1,Botnet
438,0,ICMP,7,7,0,1,1066,1,Botnet
439,0,ICMP,7,7,0,1,1066,1,Botnet
440,0,ICMP,7,7,0,1,1066,1,Botnet
441,0,ICMP,7,7,0,1,1066,1,Botnet
442,0,ICMP,7,7,0,1,1066,1,Botnet
443,0,ICMP,7,7,0,1,1066,1,Botnet
444,0,ICMP,7,7,0,1,1066,1,Botnet
445,0,ICMP,7,7,0,1,1066,1,Botnet
446,0,ICMP,7,7,0,1,1066,1,Botnet
447,0,ICMP,7,7,0,1,1066,1,Botnet
448,0,ICMP,7,7,0,1,1066,1,Botnet
449,0,ICMP,7,7,0,1,1066,1,Botnet
450,0,ICMP,7,7,0,1,1066,1,Botnet
451,0,ICMP,7,7,0,1,1066,1,Botnet
452,0,ICMP,7,7,0,1,1066,1,Botnet
453,0,ICMP,7,7,0,1,1066,1,Botnet
454,0,ICMP,7,7,0,1,1066,1,Botnet
455,0,ICMP,7,7,0,1,1066,1,Botnet
456,0,ICMP,7,7,0,1,1066,1,Botnet
457,0,ICMP,7,7,0,1,1066,1,Botnet
458,0,ICMP,7,7,0,1,1066,1,Botnet
459,0,ICMP,7,7,0,1,1066,1,Botnet
460,0,ICMP,7,7,0,1,1066,1,Botnet
461,0,ICMP,7,7,0,1,1066,1,Botnet
462,0,ICMP,7,7,0,1,1066,1,Botnet
463,0,ICMP,7,7,0,1,1066,1,Botnet
464,0,ICMP,7,7,0,1,1066,1,Botnet
465,0,ICMP,7,7,0,1,1066,1,Botnet
466,0,ICMP,7,7,0,1,1066,1,Botnet
467,0,ICMP,7,7,0,1,1066,1,Botnet
468,0,ICMP,7,7,0,1,1066,1,Botnet
469,0,ICMP,7,7,0,1,1066,1,Botnet
470,0,ICMP,7,7,0,1,1066,1,Botnet
471,0,ICMP,7,7,0,1,1066,1,Botnet
472,0,ICMP,7,7,0,1,1066,1,Botnet
473,0,ICMP,7,7,0,1,1066,1,Botnet
474,0,ICMP,7,7,0,1,1066,1,Botnet
475,0,ICMP,7,7,0,1,1066,1,Botnet
476,0,ICMP,7,7,0,1,1066,1,Botnet
477,0,ICMP,7,7,0,1,1066,1,Botnet
478,0,ICMP,7,7,0,1,1066,1,Botnet
479,0,ICMP,7,7,0,1,1066,1,Botnet
480,0,ICMP,7,7,0,1,1066,1,Botnet
481,0,ICMP,7,7,0,1,1066,1,Botnet
482,0,ICMP,7,7,0,1,1066,1,Botnet
483,0,ICMP,7,7,0,1,1066,1,Botnet
484,0,ICMP,7,7,0,1,1066,1,Botnet
485,0,ICMP,7,7,0,1,1066,1,Botnet
486,0,ICMP,7,7,0,1,1066,1,Botnet
487,0,ICMP,7,7,0,1,1066,1,Botnet
488,0,ICMP,7,7,0,1,1066,1,Botnet
489,0,ICMP,7,7,0,1,1066,1,Botnet
490,0,ICMP,7,7,0,1,1066,1,Botnet
491,0,ICMP,7,7,0,1,1066,1,Botnet
492,0,ICMP,7,7,0,1,1066,1,Botnet
493,0,ICMP,7,7,0,1,1066,1,Botnet
494,0,ICMP,7,7,0,1,1066,1,Botnet
495,0,ICMP,7,7,0,1,1066,1,Botnet
496,0,ICMP,7,7,0,1,1066,1,Botnet
497,0,ICMP,7,7,0,1,1066,1,Botnet
498,0,ICMP,7,7,0,1,1066,1,Botnet
499,0,ICMP,7,7,0,1,1066,1,Botnet
500,0,ICMP,7,7,0,1,1066,1,Botnet
501,0,ICMP,7,7,0,1,1066,1,Botnet
502,0,ICMP,7,7,0,1,1066,1,Botnet
503,0,ICMP,7,7,0,1,1066,1,Botnet
504,0,ICMP,7,7,0,1,1066,1,Botnet
505,0,ICMP,7,7,0,1,1066,1,Botnet
506,0,ICMP,7,7,0,1,1066,1,Botnet
507,0,ICMP,7,7,0,1,1066,1,Botnet
508,0,ICMP,7,7,0,1,1066,1,Botnet
509,0,ICMP,7,7,0,1,1066,1,Botnet
510,0,ICMP,7,7,0,1,1066,1,Botnet
511,0,ICMP,7,7,0,1,1066,1,Botnet
512,0,ICMP,7,7,0,1,1066,1,Botnet
513,0.588,TCP,443,57238,0,7,510,1,Background
514,0,TCP,1260,6881,0,2,116,1,Background
515,0,UDP,19181,42244,0,1,145,1,Background
516,36.344,TCP,46426,443,0,29,2566,1,Background
517,49.95,TCP,19513,443,0,46,3189,1,Background
518,45.855,TCP,47122,443,0,7,547,1,Background
519,55.026,UDP,19346,13363,0,12,1461,1,Background
520,34.448,TCP,49379,44076,0,5,270,1,Background
521,16.843,TCP,7827,80,0,5,283,1,LEGITIMATE
522,16.886,TCP,7828,80,0,5,283,1,LEGITIMATE
523,0,UDP,2018,19083,0,2,134,1,Background
524,55.017,TCP,19083,55622,0,15,1891,1,Background
525,0,UDP,47313,53,0,2,400,1,LEGITIMATE
526,0.12,UDP,13363,34021,0,2,241,1,Background
527,0,UDP,40647,53,0,2,400,1,LEGITIMATE
